pmppp_1mM,,pmppp_500uM,,pmppp_250uM,,pmppp_125uM,,pmppp_62uM,,pmppp_31uM,,pmppp_15uM,,pmppp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
749.5042114,-0.005958527792,749.5042114,-0.006209395826,749.5042114,-0.006118795834,749.5042114,-0.006002748851,749.5042114,-0.005994323641,749.5042114,-0.005937641021,749.5042114,-0.006174383219,749.5042114,-0.001498539001,
748.9379272,-0.00615651859,748.9379272,-0.006379825994,748.9379272,-0.006456140894,748.9379272,-0.006196330301,748.9379272,-0.006166165229,748.9379272,-0.006563601084,748.9379272,-0.006605619565,748.9379272,-0.001960314112,
748.5131226,-0.006199800875,748.5131226,-0.006288802251,748.5131226,-0.006419872399,748.5131226,-0.00653443113,748.5131226,-0.006543763448,748.5131226,-0.006283137947,748.5131226,-0.006351408549,748.5131226,-0.001902844524,
747.9465942,-0.006445734762,747.9465942,-0.006171320565,747.9465942,-0.006668230984,747.9465942,-0.006443337537,747.9465942,-0.006497200113,747.9465942,-0.006400232203,747.9465942,-0.006765445229,747.9465942,-0.002439051634,
747.5216675,-0.006286556832,747.5216675,-0.006509287748,747.5216675,-0.006738734897,747.5216675,-0.006636875216,747.5216675,-0.006582367234,747.5216675,-0.006487866398,747.5216675,-0.006792000495,747.5216675,-0.003072281601,
746.9549561,-0.006635549944,746.9549561,-0.00670065498,746.9549561,-0.00647134101,746.9549561,-0.006846533623,746.9549561,-0.006803366356,746.9549561,-0.006583641749,746.9549561,-0.006799696479,746.9549561,-0.003013108158,
746.5298462,-0.006690102164,746.5298462,-0.006565743126,746.5298462,-0.006864267867,746.5298462,-0.006508318707,746.5298462,-0.006874459796,746.5298462,-0.006526372861,746.5298462,-0.006506482605,746.5298462,-0.003554519732,
745.9629517,-0.006731241476,745.9629517,-0.007096329238,745.9629517,-0.006778646726,745.9629517,-0.006948139984,745.9629517,-0.007080692332,745.9629517,-0.006923428737,745.9629517,-0.007248693611,745.9629517,-0.004363349173,
745.5377197,-0.006934230216,745.5377197,-0.006912881043,745.5377197,-0.006935758982,745.5377197,-0.006947885267,745.5377197,-0.007144814357,745.5377197,-0.006616174243,745.5377197,-0.006743934471,745.5377197,-0.004519339185,
744.9706421,-0.007093731314,744.9706421,-0.007050181273,744.9706421,-0.007129026577,744.9706421,-0.007206686772,744.9706421,-0.007316914387,744.9706421,-0.007317881566,744.9706421,-0.007235658821,744.9706421,-0.004460004158,
