pp_mecn_1mM,,pp_mecn_500uM,,pp_mecn_250uM,,pp_mecn_125uM,,pp_mecn_62uM,,pp_mecn_31uM,,pp_mecn_15uM,,pp_mecn_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
765.4539185,-0.002982927021,765.4539185,-0.002533304738,765.4539185,-0.003300108947,765.4539185,-0.002772063715,765.4539185,-0.002666799584,765.4539185,-0.003324565012,765.4539185,-0.003269690787,765.4539185,-0.003151749494,
765.0316772,-0.002591771772,765.0316772,-0.00317801279,765.0316772,-0.00326316501,765.0316772,-0.003126666648,765.0316772,-0.002744644182,765.0316772,-0.003181353444,765.0316772,-0.002976037096,765.0316772,-0.003067860613,
764.4686279,-0.003056293586,764.4686279,-0.003300160402,764.4686279,-0.002875450999,764.4686279,-0.002901731059,764.4686279,-0.003264912171,764.4686279,-0.003294046037,764.4686279,-0.003220873652,764.4686279,-0.002806837671,
764.0462036,-0.002940814011,764.0462036,-0.003360424889,764.0462036,-0.003333556,764.0462036,-0.00331798871,764.0462036,-0.003221284831,764.0462036,-0.003544917097,764.0462036,-0.00324790366,764.0462036,-0.00340722315,
763.4829102,-0.003399877576,763.4829102,-0.002977682278,763.4829102,-0.00307094492,763.4829102,-0.003350304207,763.4829102,-0.003192146076,763.4829102,-0.003233104246,763.4829102,-0.003211520612,763.4829102,-0.002862593159,
763.0603638,-0.003158225445,763.0603638,-0.003370750695,763.0603638,-0.003308946267,763.0603638,-0.002943487838,763.0603638,-0.003375014523,763.0603638,-0.003104255535,763.0603638,-0.003505529137,763.0603638,-0.003383593401,
762.4968872,-0.003256896278,762.4968872,-0.003694682382,762.4968872,-0.002925438341,762.4968872,-0.003605763894,762.4968872,-0.003841163125,762.4968872,-0.004060432315,762.4968872,-0.003470965195,762.4968872,-0.003349636449,
761.9332886,-0.003409688594,761.9332886,-0.003681130009,761.9332886,-0.003668655641,761.9332886,-0.00327267102,761.9332886,-0.003658593399,761.9332886,-0.003237780416,761.9332886,-0.003634874942,761.9332886,-0.003870720044,
761.510498,-0.003245282918,761.510498,-0.003422427457,761.510498,-0.00314717507,761.510498,-0.003670349717,761.510498,-0.003462285269,761.510498,-0.003580707358,761.510498,-0.003615519032,761.510498,-0.003540244186,
760.9466553,-0.00377028971,760.9466553,-0.003720245557,760.9466553,-0.003585225902,760.9466553,-0.003836185439,760.9466553,-0.003487605602,760.9466553,-0.003653973108,760.9466553,-0.003622553078,760.9466553,-0.00359297893,
760.5237427,-0.003204428824,760.5237427,-0.003759870771,760.5237427,-0.003473122371,760.5237427,-0.004231194966,760.5237427,-0.003433060134,760.5237427,-0.003939575981,760.5237427,-0.003743138397,760.5237427,-0.003703511553,
759.9597168,-0.003626660211,759.9597168,-0.003844036721,759.9597168,-0.003564224578,759.9597168,-0.003992211074,759.9597168,-0.003528998001,759.9597168,-0.004062843043,759.9597168,-0.004371754825,759.9597168,-0.00397594925,
