pmppp_10uM,,pmppp_20uM,,pmppp_30uM,,pmppp_40uM,,pmppp_50uM,,pmppp_60uM,,pmppp_70uM,,pmppp_80uM,,pmppp_90uM,,pmppp_100uM,,pmppp_110uM,,pmppp_120uM,,pmppp_130uM,,pmppp_140uM,,pmppp_150uM,,pmppp_160uM,,pmppp_170uM,,pmppp_180uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.5259399,0.0004124298284,790.5259399,-0.0004684903251,790.5259399,6.730873429E-5,790.5259399,-0.0001161089313,790.5259399,-0.0003603902005,790.5259399,3.743272464E-5,790.5259399,0.002285105409,790.5259399,0.00172509742,790.5259399,0.0005290689296,790.5259399,-0.0004555611231,790.5259399,0.0002251368423,790.5259399,-0.0008997436962,790.5259399,-0.001000839984,790.5259399,0.00070990721,790.5259399,0.001491077594,790.5259399,0.001093452564,790.5259399,4.452614667E-5,790.5259399,-0.0003399567504,
789.9683228,0.0001065856122,789.9683228,-0.0003206087858,789.9683228,0.0002971172216,789.9683228,-0.0003181255597,789.9683228,-4.296858242E-5,789.9683228,0.0001329965744,789.9683228,0.001499285805,789.9683228,0.001604992896,789.9683228,-0.0001036350513,789.9683228,0.0004015215964,789.9683228,-5.694909078E-7,789.9683228,-0.0001865977392,789.9683228,-0.0004717484408,789.9683228,0.0008011585451,789.9683228,0.001165083842,789.9683228,0.001536873868,789.9683228,0.0007266312605,789.9683228,-0.0008809373248,
789.5500488,0.0001896302274,789.5500488,-5.11994258E-5,789.5500488,0.0001891640713,789.5500488,-0.0003901850723,789.5500488,-0.0003585279337,789.5500488,0.0003930750536,789.5500488,0.002019392559,789.5500488,0.001286027487,789.5500488,0.0002129901986,789.5500488,-0.0001800772297,789.5500488,-0.0002687684901,789.5500488,-0.0006200438365,789.5500488,-0.0008353646263,789.5500488,0.0008059563115,789.5500488,0.001572386944,789.5500488,0.00136844092,789.5500488,0.0004312153906,789.5500488,-0.001018814743,
788.9921875,0.0002806168923,788.9921875,-0.0007759889122,788.9921875,0.0003592646099,788.9921875,-0.0003856849216,788.9921875,-0.000787306577,788.9921875,-0.000365459593,788.9921875,0.001750957221,788.9921875,0.001650697319,788.9921875,-0.0001389854151,788.9921875,-0.0004246845783,788.9921875,-0.0001236137905,788.9921875,-0.001068706391,788.9921875,-0.0006500276504,788.9921875,0.0009153599385,788.9921875,0.001153040677,788.9921875,0.001058861031,788.9921875,0.0006600758643,788.9921875,-0.0006515267887,
788.4342041,-0.00048612518,788.4342041,-0.001622088021,788.4342041,-0.0007088003331,788.4342041,-0.0005995192332,788.4342041,-0.001488993992,788.4342041,-0.0009614787414,788.4342041,0.001324687619,788.4342041,0.0009082262986,788.4342041,-0.0006862640148,788.4342041,-0.001199451042,788.4342041,-0.00103746017,788.4342041,-0.001385585871,788.4342041,-0.00206106063,788.4342041,0.0002555437968,788.4342041,0.001092154998,788.4342041,0.000436449569,788.4342041,-3.158076652E-6,788.4342041,-0.001808712143,
788.015686,-0.0003511306131,788.015686,-0.001528616995,788.015686,-0.0003647354024,788.015686,-0.001209157286,788.015686,-0.0009810047923,788.015686,-0.001215404132,788.015686,0.001476090285,788.015686,0.001187146641,788.015686,-0.0008678137092,788.015686,-0.001158042462,788.015686,-0.001044484321,788.015686,-0.001660822076,788.015686,-0.000818467408,788.015686,-0.0001275990799,788.015686,0.001006291131,788.015686,0.0007188784657,788.015686,0.0002880769316,788.015686,-0.0009466528427,
787.4574585,-0.0002111264039,787.4574585,-0.001678769593,787.4574585,-0.0002677336743,787.4574585,-0.0006668280694,787.4574585,-0.0012791591,787.4574585,-0.001052644569,787.4574585,0.000660335063,787.4574585,0.0009451666847,787.4574585,-0.0002247355878,787.4574585,-0.001144978916,787.4574585,-0.001479036175,787.4574585,-0.001704194001,787.4574585,-0.001843150705,787.4574585,0.0008843620308,787.4574585,0.0008988620248,787.4574585,0.0006596610183,787.4574585,0.0002961587743,787.4574585,-0.001357201138,
787.0387573,-0.0005975028616,787.0387573,-0.001391933532,787.0387573,-0.0005777010228,787.0387573,-0.0009990837425,787.0387573,-0.00121173868,787.0387573,-0.001059410279,787.0387573,0.001374751213,787.0387573,0.0005716534797,787.0387573,-0.000271407218,787.0387573,-0.001174720004,787.0387573,-0.001206472516,787.0387573,-0.001856502611,787.0387573,-0.001771692769,787.0387573,0.0001944989344,787.0387573,0.001043058233,787.0387573,7.266799366E-5,787.0387573,3.329063111E-5,787.0387573,-0.00153836736,
786.4804077,-0.0001806464861,786.4804077,-0.000864816946,786.4804077,0.0001690423815,786.4804077,-0.000984414015,786.4804077,-0.0004242190917,786.4804077,-0.0005952797364,786.4804077,0.001198515878,786.4804077,0.001220891834,786.4804077,-0.0002396379423,786.4804077,-0.0008759772754,786.4804077,-0.0006336402148,786.4804077,-0.0009406086756,786.4804077,-0.000942416722,786.4804077,0.000591119926,786.4804077,0.001173026394,786.4804077,0.0005045775324,786.4804077,0.0007931969594,786.4804077,-0.00079366297,
786.0615234,-0.0004668354231,786.0615234,-0.0008680204046,786.0615234,-0.0009147779201,786.0615234,-0.001039422816,786.0615234,-0.000683524413,786.0615234,-0.000892613898,786.0615234,0.001390410122,786.0615234,0.0008740904159,786.0615234,0.0005550131318,786.0615234,-0.0009982573101,786.0615234,-0.000636535231,786.0615234,-0.001164548332,786.0615234,-0.0005567090702,786.0615234,-0.0002897226368,786.0615234,0.001151924604,786.0615234,0.0005720164045,786.0615234,0.0006023957976,786.0615234,-0.0007973320317,
