pmpp_10uM,,pmpp_20uM,,pmpp_30uM,,pmpp_40uM,,pmpp_50uM,,pmpp_60uM,,pmpp_70uM,,pmpp_80uM,,pmpp_90uM,,pmpp_100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
774.0249634,-0.001937894151,774.0249634,-0.001913153566,774.0249634,-0.001134806545,774.0249634,-0.00207966147,774.0249634,-0.0005042246776,774.0249634,-0.002150811255,774.0249634,-0.002088369103,774.0249634,-0.001059513539,774.0249634,-0.0007268389454,774.0249634,-0.001315756002,
773.4638062,-0.001801545615,773.4638062,-0.001261143479,773.4638062,-0.001574323396,773.4638062,-0.00205472298,773.4638062,-0.0008761322824,773.4638062,-0.002147050574,773.4638062,-0.002054516692,773.4638062,-0.0008306107484,773.4638062,-0.001577005722,773.4638062,-0.001818713965,
773.0427856,-0.001971394755,773.0427856,-0.001156803337,773.0427856,-0.001852687798,773.0427856,-0.001872431603,773.0427856,-0.0002401036327,773.0427856,-0.002361100866,773.0427856,-0.001991906203,773.0427856,-0.0009425200406,773.0427856,-0.001231924631,773.0427856,-0.002008654876,
772.4814453,-0.002070283983,772.4814453,-0.001477436628,772.4814453,-0.0008666253416,772.4814453,-0.002206444973,772.4814453,-0.0005348370178,772.4814453,-0.002534540137,772.4814453,-0.002184037818,772.4814453,-0.0007625520229,772.4814453,-0.00120538834,772.4814453,-0.001838665572,
772.0603027,-0.002263308037,772.0603027,-0.001319369068,772.0603027,-0.001445652335,772.0603027,-0.002262535272,772.0603027,-0.0008280270849,772.0603027,-0.002174456371,772.0603027,-0.001916194684,772.0603027,-0.000976407493,772.0603027,-0.001317459275,772.0603027,-0.001877431874,
771.4986572,-0.001812733477,771.4986572,-0.001550335903,771.4986572,-0.001311936416,771.4986572,-0.001745241112,771.4986572,-0.0004588710435,771.4986572,-0.002356260549,771.4986572,-0.001969333272,771.4986572,-0.001349665923,771.4986572,-0.001275029499,771.4986572,-0.001906916616,
770.9369507,-0.001793451025,770.9369507,-0.001451844233,770.9369507,-0.00125190313,770.9369507,-0.002207423793,770.9369507,-0.0005862319958,770.9369507,-0.00244682515,770.9369507,-0.002098879777,770.9369507,-0.0008352612494,770.9369507,-0.001368503668,770.9369507,-0.0016846488,
770.515564,-0.001759008504,770.515564,-0.00224986556,770.515564,-0.0009946932551,770.515564,-0.001948460005,770.515564,-0.0005961069837,770.515564,-0.002492692554,770.515564,-0.001959231682,770.515564,-0.001206885558,770.515564,-0.001527224085,770.515564,-0.002011643723,
769.9536743,-0.002242809394,769.9536743,-0.001608832041,769.9536743,-0.0009273318574,769.9536743,-0.00210083765,769.9536743,-0.0004301670124,769.9536743,-0.002195937093,769.9536743,-0.002224833705,769.9536743,-0.0009599290206,769.9536743,-0.0009165344527,769.9536743,-0.002190116327,
769.5321045,-0.001961808652,769.5321045,-0.001665721647,769.5321045,-0.00149178016,769.5321045,-0.002385661472,769.5321045,-0.0009210807621,769.5321045,-0.002380873077,769.5321045,-0.001874596695,769.5321045,-0.001030745916,769.5321045,-0.001680677757,769.5321045,-0.001698263455,
768.9699707,-0.002088008448,768.9699707,-0.001680832473,768.9699707,-0.001278126729,768.9699707,-0.00191155565,768.9699707,-0.0004705589672,768.9699707,-0.002436168492,768.9699707,-0.002119075973,768.9699707,-0.001196559868,768.9699707,-0.001724718022,768.9699707,-0.002131955931,
768.5483398,-0.00216549309,768.5483398,-0.001724821166,768.5483398,-0.001640295028,768.5483398,-0.001847841893,768.5483398,-0.0003646836849,768.5483398,-0.00230831909,768.5483398,-0.001962169539,768.5483398,-0.001041385462,768.5483398,-0.001645504264,768.5483398,-0.002033699071,
767.9859619,-0.002174610971,767.9859619,-0.001554359682,767.9859619,-0.001193462056,767.9859619,-0.001882019686,767.9859619,-0.0003866160114,767.9859619,-0.00256238482,767.9859619,-0.002024629852,767.9859619,-0.001124737202,767.9859619,-0.001402202994,767.9859619,-0.002200418385,
767.5641479,-0.002094809432,767.5641479,-0.001824333565,767.5641479,-0.001637406764,767.5641479,-0.002032565419,767.5641479,-0.0002922577551,767.5641479,-0.002493001288,767.5641479,-0.001898153918,767.5641479,-0.001121948822,767.5641479,-0.001769269351,767.5641479,-0.001813609968,
767.0015869,-0.002234671498,767.0015869,-0.001777673839,767.0015869,-0.0007788313087,767.0015869,-0.002234001877,767.0015869,-0.0004350804375,767.0015869,-0.002566862619,767.0015869,-0.001665566931,767.0015869,-0.001070720493,767.0015869,-0.001839335775,767.0015869,-0.001856605755,
766.4389038,-0.001850883476,766.4389038,-0.001469955198,766.4389038,-0.00111719803,766.4389038,-0.001982526854,766.4389038,-0.0008387233247,766.4389038,-0.002322480548,766.4389038,-0.002100064885,766.4389038,-0.0008633701946,766.4389038,-0.001887896098,766.4389038,-0.001933410065,
766.0168457,-0.001979125431,766.0168457,-0.001579275471,766.0168457,-0.001585878199,766.0168457,-0.002117375843,766.0168457,-0.0007032180438,766.0168457,-0.002311820863,766.0168457,-0.002063585445,766.0168457,-0.0007485979004,766.0168457,-0.001666959375,766.0168457,-0.002060957719,
765.4539185,-0.001691868762,765.4539185,-0.001518505276,765.4539185,-0.001234764,765.4539185,-0.00190794759,765.4539185,-0.0002264431823,765.4539185,-0.001979692141,765.4539185,-0.001342749922,765.4539185,-0.001009310945,765.4539185,-0.001558331889,765.4539185,-0.001757822582,
765.0316772,-0.001908050617,765.0316772,-0.001738743973,765.0316772,-0.001506845467,765.0316772,-0.002221640199,765.0316772,-0.0004513719759,765.0316772,-0.002357341815,765.0316772,-0.001894236426,765.0316772,-0.0006925701746,765.0316772,-0.001583350589,765.0316772,-0.001966292504,
764.4686279,-0.001749933464,764.4686279,-0.001441988745,764.4686279,-0.001483576605,764.4686279,-0.002006645082,764.4686279,-0.0003121243499,764.4686279,-0.002581427339,764.4686279,-0.002036327263,764.4686279,-0.0009291916504,764.4686279,-0.001592790242,764.4686279,-0.001850625733,
764.0462036,-0.001901813666,764.0462036,-0.001720231725,764.0462036,-0.001479861676,764.0462036,-0.001784479711,764.0462036,-0.0002398966608,764.0462036,-0.002310276031,764.0462036,-0.001848718268,764.0462036,-0.0009757876396,764.0462036,-0.001840985497,764.0462036,-0.00189593737,
763.4829102,-0.001920730574,763.4829102,-0.001738795545,763.4829102,-0.001598515897,763.4829102,-0.001784479711,763.4829102,-0.0003178668849,763.4829102,-0.002255221829,763.4829102,-0.002033699071,763.4829102,-0.0009373024222,763.4829102,-0.001886710525,763.4829102,-0.001888153842,
763.0603638,-0.001739569008,763.0603638,-0.001406899071,763.0603638,-0.001138472697,763.0603638,-0.002327990718,763.0603638,-0.0003205053217,763.0603638,-0.002100013196,763.0603638,-0.001866297214,763.0603638,-0.0007678234833,763.0603638,-0.001374645042,763.0603638,-0.001705689472,
762.4968872,-0.001956706401,762.4968872,-0.00167428283,762.4968872,-0.001372116269,762.4968872,-0.002006438794,762.4968872,-0.0005137912813,762.4968872,-0.002446773695,762.4968872,-0.001760813175,762.4968872,-0.001001717988,762.4968872,-0.001751583419,762.4968872,-0.002351677744,
761.9332886,-0.001667062519,761.9332886,-0.001399106695,761.9332886,-0.0013899724,761.9332886,-0.002162144519,761.9332886,-0.0006644502282,761.9332886,-0.002052558819,761.9332886,-0.002244199859,761.9332886,-0.0009305348503,761.9332886,-0.001349820755,761.9332886,-0.002456966788,
