ppp_1mM,,ppp_500uM,,ppp_250uM,,ppp_125uM,,ppp_62uM,,ppp_31uM,,ppp_15uM,,ppp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.5641479,-0.002263977425,767.5641479,-0.001679543173,767.5641479,-0.002253367798,767.5641479,-0.002127679763,767.5641479,-0.001437396277,767.5641479,-0.002402188955,767.5641479,-0.001885524951,767.5641479,-0.001805206295,
767.0015869,-0.002013086574,767.0015869,-0.001866864273,767.0015869,-0.002161423443,767.0015869,-0.00185748213,767.0015869,-0.002316610189,767.0015869,-0.002499487251,767.0015869,-0.002128297929,767.0015869,-0.001740600332,
766.4389038,-0.002496810397,766.4389038,-0.001998245018,766.4389038,-0.001754110097,766.4389038,-0.001699398039,766.4389038,-0.002120312536,766.4389038,-0.002122321865,766.4389038,-0.001869338681,766.4389038,-0.001805824926,
766.0168457,-0.002399768913,766.0168457,-0.001783500076,766.0168457,-0.002002419205,766.0168457,-0.002055547433,766.0168457,-0.002003656002,766.0168457,-0.001859389478,766.0168457,-0.002333963988,766.0168457,-0.002285814146,
765.4539185,-0.002419899916,765.4539185,-0.001810258836,765.4539185,-0.001864750753,765.4539185,-0.001883153687,765.4539185,-0.001910318621,765.4539185,-0.002154932357,765.4539185,-0.001872277004,765.4539185,-0.001546982676,
765.0316772,-0.002042304492,765.0316772,-0.001907483675,765.0316772,-0.001966086449,765.0316772,-0.001953974832,765.0316772,-0.001917741029,765.0316772,-0.002073324053,765.0316772,-0.001943666721,765.0316772,-0.001553018345,
764.4686279,-0.002088317648,764.4686279,-0.001748695853,764.4686279,-0.001967890188,764.4686279,-0.001627864898,764.4686279,-0.001987010473,764.4686279,-0.002035193378,764.4686279,-0.002117839642,764.4686279,-0.001733742072,
764.0462036,-0.002332882723,764.0462036,-0.002080949722,764.0462036,-0.001820312231,764.0462036,-0.001788449823,764.0462036,-0.001984639792,764.0462036,-0.002141177654,764.0462036,-0.001786078094,764.0462036,-0.001795616467,
763.4829102,-0.002406977117,763.4829102,-0.001970312558,763.4829102,-0.001851089764,763.4829102,-0.00207523047,763.4829102,-0.001636117348,763.4829102,-0.00204276829,763.4829102,-0.001697902451,763.4829102,-0.001954902429,
763.0603638,-0.001902277581,763.0603638,-0.001803040854,763.0603638,-0.001553121605,763.0603638,-0.001602951903,763.0603638,-0.001870008768,763.0603638,-0.002220558468,763.0603638,-0.001623635413,763.0603638,-0.001930987579,
762.4968872,-0.002186149824,762.4968872,-0.002159002237,762.4968872,-0.001984072849,762.4968872,-0.002036997117,762.4968872,-0.002205929952,762.4968872,-0.001769372495,762.4968872,-0.002206857083,762.4968872,-0.002238997957,
761.9332886,-0.001835314557,761.9332886,-0.001612236374,761.9332886,-0.002070438582,761.9332886,-0.001701202942,761.9332886,-0.001924596261,761.9332886,-0.001756017911,761.9332886,-0.002437198069,761.9332886,-0.002118097153,
761.510498,-0.001922173775,761.510498,-0.001792626106,761.510498,-0.001720386441,761.510498,-0.002258878667,761.510498,-0.001808299683,761.510498,-0.002067089314,761.510498,-0.001525108819,761.510498,-0.002048591152,
760.9466553,-0.001730905962,760.9466553,-0.001608006773,760.9466553,-0.001539141289,760.9466553,-0.001581338816,760.9466553,-0.001799638034,760.9466553,-0.002076467033,760.9466553,-0.001813455252,760.9466553,-0.001810310408,
760.5237427,-0.001867173589,760.5237427,-0.001548220753,760.5237427,-0.00143130729,760.5237427,-0.00174776779,760.5237427,-0.001620953321,760.5237427,-0.001775611425,760.5237427,-0.00199448294,760.5237427,-0.001363807125,
759.9597168,-0.002158229472,759.9597168,-0.001931090606,759.9597168,-0.001583453733,759.9597168,-0.001606149832,759.9597168,-0.002580500906,759.9597168,-0.001989947865,759.9597168,-0.002051425166,759.9597168,-0.001432700548,
759.5366211,-0.001881607226,759.5366211,-0.002020919463,759.5366211,-0.00170192495,759.5366211,-0.002066161949,759.5366211,-0.00203153491,759.5366211,-0.002017466817,759.5366211,-0.001738022082,759.5366211,-0.001792522962,
758.9723511,-0.002262071939,758.9723511,-0.002262586961,758.9723511,-0.001748231822,758.9723511,-0.002151944442,758.9723511,-0.002201397205,758.9723511,-0.001890782733,758.9723511,-0.002303323708,758.9723511,-0.002369339345,
758.5491333,-0.00170641148,758.5491333,-0.002644827822,758.5491333,-0.001814434887,758.5491333,-0.0019570156,758.5491333,-0.002053640783,758.5491333,-0.002164720325,758.5491333,-0.001925678691,758.5491333,-0.002400541212,
757.9846802,-0.002311563352,757.9846802,-0.002474881476,757.9846802,-0.001832736889,757.9846802,-0.002422628459,757.9846802,-0.002168635372,757.9846802,-0.002130822511,757.9846802,-0.002064152388,757.9846802,-0.00238617626,
757.5612793,-0.002088472247,757.5612793,-0.002076415345,757.5612793,-0.001635240507,757.5612793,-0.002221588744,757.5612793,-0.002556363121,757.5612793,-0.002087750705,757.5612793,-0.002449296415,757.5612793,-0.001839954406,
756.9966431,-0.002241676208,756.9966431,-0.002073530108,756.9966431,-0.001568803797,756.9966431,-0.002354612807,756.9966431,-0.00212546438,756.9966431,-0.002323098714,756.9966431,-0.002113408875,756.9966431,-0.002096715849,
756.4318848,-0.002163483994,756.4318848,-0.002211596118,756.4318848,-0.00201612711,756.4318848,-0.002330307849,756.4318848,-0.002175589791,756.4318848,-0.002143341349,756.4318848,-0.0026783254,756.4318848,-0.002413618611,
756.0082397,-0.002308834111,756.0082397,-0.002585904906,756.0082397,-0.001434661332,756.0082397,-0.00188567955,756.0082397,-0.002389471512,756.0082397,-0.002538812114,756.0082397,-0.002369905589,756.0082397,-0.002168996027,
755.4432983,-0.002526665106,755.4432983,-0.002395855961,755.4432983,-0.001790305949,755.4432983,-0.0021816683,755.4432983,-0.002742431825,755.4432983,-0.003112171544,755.4432983,-0.002389626112,755.4432983,-0.002170593012,
755.0194702,-0.002358165802,755.0194702,-0.002879411215,755.0194702,-0.001419232343,755.0194702,-0.002259960165,755.0194702,-0.00268398528,755.0194702,-0.002526819473,755.0194702,-0.002662117127,755.0194702,-0.002378813457,
754.4543457,-0.00236413884,754.4543457,-0.003146044211,754.4543457,-0.001667629927,754.4543457,-0.002182801487,754.4543457,-0.002749634208,754.4543457,-0.002628824208,754.4543457,-0.002874422353,754.4543457,-0.002921324456,
754.0303955,-0.002470814856,754.0303955,-0.002772681182,754.0303955,-0.001878926763,754.0303955,-0.00222107349,754.0303955,-0.002661139471,754.0303955,-0.00260082935,754.0303955,-0.002825869247,754.0303955,-0.002489603823,
753.4650269,-0.002587345894,753.4650269,-0.003011257155,753.4650269,-0.001951758633,753.4650269,-0.002889491152,753.4650269,-0.00304452097,753.4650269,-0.003011925612,753.4650269,-0.002948938636,753.4650269,-0.002307804069,
753.0408936,-0.00312553579,753.0408936,-0.003106568707,753.0408936,-0.001751119387,753.0408936,-0.003037940245,753.0408936,-0.002736001043,753.0408936,-0.003095311346,753.0408936,-0.002900805324,753.0408936,-0.00286794221,
752.4753418,-0.002790839877,752.4753418,-0.002988839988,752.4753418,-0.001807423192,752.4753418,-0.002752721077,752.4753418,-0.003225395922,752.4753418,-0.002883885521,752.4753418,-0.002872108016,752.4753418,-0.003036757931,
752.0510864,-0.002874165308,752.0510864,-0.003561708611,752.0510864,-0.002032668563,752.0510864,-0.003566432744,752.0510864,-0.003346605459,752.0510864,-0.003120909911,752.0510864,-0.003319273237,752.0510864,-0.003645399585,
751.4852905,-0.003458535997,751.4852905,-0.003491251962,751.4852905,-0.001842377358,751.4852905,-0.003048376646,751.4852905,-0.003375476925,751.4852905,-0.003502909793,751.4852905,-0.003388679121,751.4852905,-0.00338857621,
751.0609131,-0.003341005417,751.0609131,-0.003090016544,751.0609131,-0.002060699975,751.0609131,-0.003474098165,751.0609131,-0.00318407733,751.0609131,-0.003501369152,751.0609131,-0.003477179678,751.0609131,-0.003511897055,
750.4949341,-0.003501215251,750.4949341,-0.003413387109,750.4949341,-0.002168429317,750.4949341,-0.00354281161,750.4949341,-0.003878057702,750.4949341,-0.003675277811,750.4949341,-0.003659106791,750.4949341,-0.003290398046,
750.0703735,-0.003668809542,750.0703735,-0.003955326043,750.0703735,-0.002134480281,750.0703735,-0.003887345083,750.0703735,-0.003768647322,750.0703735,-0.003570437897,750.0703735,-0.003121064045,750.0703735,-0.00362589024,
749.5042114,-0.003528689966,749.5042114,-0.003835774725,749.5042114,-0.002414854243,749.5042114,-0.003675380489,749.5042114,-0.004098128993,749.5042114,-0.003955890425,749.5042114,-0.00392079819,749.5042114,-0.003985080868,
748.9379272,-0.003902224824,748.9379272,-0.004651098512,748.9379272,-0.002787753474,748.9379272,-0.004043455236,748.9379272,-0.00454208767,748.9379272,-0.00427477248,748.9379272,-0.004322702531,748.9379272,-0.004281846806,
748.5131226,-0.003981028218,748.5131226,-0.004409936722,748.5131226,-0.002672562608,748.5131226,-0.004482294433,748.5131226,-0.004473890644,748.5131226,-0.00430527376,748.5131226,-0.004555100575,748.5131226,-0.004155155271,
747.9465942,-0.004361914005,747.9465942,-0.00449095387,747.9465942,-0.002622494707,747.9465942,-0.004400455859,747.9465942,-0.004191100132,747.9465942,-0.004344948567,747.9465942,-0.004324445035,747.9465942,-0.004579998553,
747.5216675,-0.004203405697,747.5216675,-0.004886955488,747.5216675,-0.002742534736,747.5216675,-0.004943519831,747.5216675,-0.004787681624,747.5216675,-0.004843081348,747.5216675,-0.004723620601,747.5216675,-0.00476837717,
746.9549561,-0.004527742043,746.9549561,-0.005215181038,746.9549561,-0.003112068633,746.9549561,-0.004687309731,746.9549561,-0.004393229261,746.9549561,-0.005156810395,746.9549561,-0.004608275834,746.9549561,-0.004725105595,
746.5298462,-0.00460632937,746.5298462,-0.005162949674,746.5298462,-0.003357856302,746.5298462,-0.004966962151,746.5298462,-0.004892126191,746.5298462,-0.005322437733,746.5298462,-0.004948689602,746.5298462,-0.00479305815,
745.9629517,-0.004717372358,745.9629517,-0.005360791925,745.9629517,-0.00331485481,745.9629517,-0.005188273266,745.9629517,-0.005441478454,745.9629517,-0.005218813196,745.9629517,-0.005297940224,745.9629517,-0.004908507224,
745.5377197,-0.005195588805,745.5377197,-0.00533854682,745.5377197,-0.003470194759,745.5377197,-0.005313130096,745.5377197,-0.005236716475,745.5377197,-0.005511005875,745.5377197,-0.005664029624,745.5377197,-0.005253186915,
744.9706421,-0.005483605433,744.9706421,-0.005703273695,744.9706421,-0.003135610372,744.9706421,-0.005272418726,744.9706421,-0.005589517765,744.9706421,-0.005847393069,744.9706421,-0.005579960067,744.9706421,-0.005405432079,
744.5452271,-0.00541954441,744.5452271,-0.005494647659,744.5452271,-0.003582350444,744.5452271,-0.00548452558,744.5452271,-0.005735565443,744.5452271,-0.005926763173,744.5452271,-0.005706339143,744.5452271,-0.00585101964,
743.9779053,-0.005790128838,743.9779053,-0.005761621986,743.9779053,-0.004037607927,743.9779053,-0.006241905503,743.9779053,-0.006092913914,743.9779053,-0.00611675391,743.9779053,-0.006095977034,743.9779053,-0.006045944523,
743.5523682,-0.0062715034,743.5523682,-0.006081274245,743.5523682,-0.003805804765,743.5523682,-0.006281709298,743.5523682,-0.005996213295,743.5523682,-0.006033180747,743.5523682,-0.006254255306,743.5523682,-0.00626354292,
742.9848633,-0.006427677348,742.9848633,-0.006486387458,742.9848633,-0.004370986018,742.9848633,-0.00673271995,742.9848633,-0.006331459153,742.9848633,-0.006641260348,742.9848633,-0.006174128037,742.9848633,-0.006583794951,
742.5591431,-0.006460731383,742.5591431,-0.00655192323,742.5591431,-0.004937019199,742.5591431,-0.006708454806,742.5591431,-0.006736492272,742.5591431,-0.00675790105,742.5591431,-0.00664860243,742.5591431,-0.006461241283,
741.9914551,-0.0073787109,741.9914551,-0.007406399585,741.9914551,-0.005587371066,741.9914551,-0.007475969382,741.9914551,-0.00736557832,741.9914551,-0.007491591852,741.9914551,-0.007500140928,741.9914551,-0.007487724535,
741.5656128,-0.007794210222,741.5656128,-0.00793397706,741.5656128,-0.005544487853,741.5656128,-0.007934079506,741.5656128,-0.007781751454,741.5656128,-0.007903119549,741.5656128,-0.007803668734,741.5656128,-0.007733846083,
