pp_1mM,,pp_500uM,,pp_250uM,,pp_125uM,,pp_62uM,,pp_31uM,,pp_15uM,,pp_7uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
778.9302368,-0.001547704916,778.9302368,-0.001921091345,778.9302368,-0.001710433746,778.9302368,-0.001229291665,778.9302368,-0.0008496259688,778.9302368,-0.001221031533,778.9302368,-0.001245346968,778.9302368,-0.001555752475,
778.5101929,-0.001522426144,778.5101929,-0.001151433331,778.5101929,-0.002015766222,778.5101929,-0.001532692579,778.5101929,-0.001237861463,778.5101929,-0.0009552281699,778.5101929,-0.001502202125,778.5101929,-0.001964437077,
777.9499512,-0.001502975938,777.9499512,-0.001562252408,777.9499512,-0.001518040895,777.9499512,-0.001667010947,777.9499512,-0.0007089037099,777.9499512,-0.0005661193863,777.9499512,-0.001175029785,777.9499512,-0.001521549071,
777.5296631,-0.002162711229,777.5296631,-0.001512417453,777.5296631,-0.001776951947,777.5296631,-0.001070462284,777.5296631,-0.001074335654,777.5296631,-0.001035136054,777.5296631,-0.001177456463,777.5296631,-0.001567514148,
776.9692383,-0.001622345997,776.9692383,-0.001657521352,776.9692383,-0.001617136411,776.9692383,-0.001051250147,776.9692383,-0.001222477062,776.9692383,-0.001315652742,776.9692383,-0.001656541484,776.9692383,-0.00192959595,
776.5488281,-0.001614351175,776.5488281,-0.002065749606,776.5488281,-0.001370206708,776.5488281,-0.001814744202,776.5488281,-0.001279623713,776.5488281,-0.001152672572,776.5488281,-0.001649372512,776.5488281,-0.00177308498,
775.9881592,-0.001949697034,775.9881592,-0.001725852489,775.9881592,-0.001831654226,775.9881592,-0.001933152322,775.9881592,-0.001218346879,775.9881592,-0.001294799615,775.9881592,-0.001876040013,775.9881592,-0.002015044913,
775.567627,-0.001919081085,775.567627,-0.002110626781,775.567627,-0.001855574665,775.567627,-0.002071829746,775.567627,-0.001430636505,775.567627,-0.001548788277,775.567627,-0.001516183605,775.567627,-0.001618425944,
775.0067749,-0.001939904294,775.0067749,-0.001736939186,775.0067749,-0.002092903247,775.0067749,-0.001910164021,775.0067749,-0.001365045784,775.0067749,-0.001614351175,775.0067749,-0.001129229786,775.0067749,-0.001451947493,
774.4458008,-0.001977733802,774.4458008,-0.002043026034,774.4458008,-0.001549252542,774.4458008,-0.002008500276,774.4458008,-0.001430584816,774.4458008,-0.001410201774,774.4458008,-0.001373561216,774.4458008,-0.002181771211,
774.0249634,-0.001799586462,774.0249634,-0.002124640159,774.0249634,-0.001281791716,774.0249634,-0.002158074873,774.0249634,-0.001561117475,774.0249634,-0.00153026788,774.0249634,-0.00216394756,774.0249634,-0.002057763049,
773.4638062,-0.001875524526,773.4638062,-0.001789841917,773.4638062,-0.001325820806,773.4638062,-0.001992266858,773.4638062,-0.001139298896,773.4638062,-0.001205078559,773.4638062,-0.001792110503,773.4638062,-0.002288131509,
773.0427856,-0.001622397569,773.0427856,-0.001786645269,773.0427856,-0.002100786194,773.0427856,-0.001839645091,773.0427856,-0.001412833575,773.0427856,-0.001391830272,773.0427856,-0.002015044913,773.0427856,-0.002057247795,
772.4814453,-0.001436312567,772.4814453,-0.001927791978,772.4814453,-0.001843769336,772.4814453,-0.001892689965,772.4814453,-0.001289379667,772.4814453,-0.001862379373,772.4814453,-0.001761483494,772.4814453,-0.001936708693,
772.0603027,-0.001922998461,772.0603027,-0.001546157291,772.0603027,-0.001928822719,772.0603027,-0.002429784741,772.0603027,-0.001353485161,772.0603027,-0.001559569966,772.0603027,-0.00142496021,772.0603027,-0.001967529533,
771.4986572,-0.001868823194,771.4986572,-0.002180792624,771.4986572,-0.001973559381,771.4986572,-0.002139735036,771.4986572,-0.001435383805,771.4986572,-0.00168490666,771.4986572,-0.002022156259,771.4986572,-0.002494597109,
770.9369507,-0.001872998662,770.9369507,-0.002230550861,770.9369507,-0.001598154777,770.9369507,-0.002103207633,770.9369507,-0.001495598117,770.9369507,-0.001506535918,770.9369507,-0.002016590908,770.9369507,-0.002201500116,
770.515564,-0.001890628133,770.515564,-0.001792832394,770.515564,-0.002108926419,770.515564,-0.00154507393,770.515564,-0.001083786367,770.515564,-0.001791079296,770.515564,-0.001737351646,770.515564,-0.00190954539,
769.9536743,-0.00194557372,769.9536743,-0.001854388975,769.9536743,-0.001626884914,769.9536743,-0.002061318373,769.9536743,-0.001475269673,769.9536743,-0.001652105944,769.9536743,-0.001449831878,769.9536743,-0.002339988947,
769.5321045,-0.001580049167,769.5321045,-0.002141950419,769.5321045,-0.001681399764,769.5321045,-0.002172498964,769.5321045,-0.001259130309,769.5321045,-0.00197417778,769.5321045,-0.001749263145,769.5321045,-0.001988711068,
768.9699707,-0.002227099845,768.9699707,-0.0016531375,768.9699707,-0.001415723353,768.9699707,-0.002135304501,768.9699707,-0.002001337009,768.9699707,-0.001873720321,768.9699707,-0.001676655142,768.9699707,-0.001766485046,
768.5483398,-0.001719097258,768.5483398,-0.001902380609,768.5483398,-0.002052764874,768.5483398,-0.001894339453,768.5483398,-0.001342130592,768.5483398,-0.001881607226,768.5483398,-0.001642512856,768.5483398,-0.002108720364,
767.9859619,-0.001964127878,767.9859619,-0.002438999945,767.9859619,-0.00163044373,767.9859619,-0.001867018873,767.9859619,-0.001528462279,767.9859619,-0.001507670968,767.9859619,-0.002003398491,767.9859619,-0.002317176433,
767.5641479,-0.0016969227,767.5641479,-0.001838253113,767.5641479,-0.00161981862,767.5641479,-0.002028958406,767.5641479,-0.001469593961,767.5641479,-0.001715229591,767.5641479,-0.002202066826,767.5641479,-0.001994946739,
767.0015869,-0.001610431122,767.0015869,-0.002065182896,767.0015869,-0.002228593687,767.0015869,-0.001993761398,767.0015869,-0.00142790156,767.0015869,-0.001525263651,767.0015869,-0.002010716125,767.0015869,-0.002153593116,
766.4389038,-0.001891195076,766.4389038,-0.002281024586,766.4389038,-0.002119797282,766.4389038,-0.002043489832,766.4389038,-0.001713166945,766.4389038,-0.001830416964,766.4389038,-0.002042459091,766.4389038,-0.001843975508,
766.0168457,-0.00185588398,766.0168457,-0.001898927032,766.0168457,-0.001866039471,766.0168457,-0.00206008181,766.0168457,-0.00127002236,766.0168457,-0.001503749867,766.0168457,-0.002017312218,766.0168457,-0.001920730574,
765.4539185,-0.001706050476,765.4539185,-0.002023444511,765.4539185,-0.001511798357,765.4539185,-0.001631887979,765.4539185,-0.001310129883,765.4539185,-0.001560446923,765.4539185,-0.001825777115,765.4539185,-0.001646690536,
765.0316772,-0.001751274103,765.0316772,-0.001891710563,765.0316772,-0.001928977435,765.0316772,-0.001745344256,765.0316772,-0.001415723353,765.0316772,-0.00157767639,765.0316772,-0.001534704585,765.0316772,-0.002060442464,
764.4686279,-0.001685886527,764.4686279,-0.001936966437,764.4686279,-0.001910318621,764.4686279,-0.00175735855,764.4686279,-0.001215662342,764.4686279,-0.001754935016,764.4686279,-0.001790254377,764.4686279,-0.001940058894,
764.0462036,-0.001683153212,764.0462036,-0.00157153781,764.0462036,-0.002030658768,764.0462036,-0.001843975508,764.0462036,-0.001615898567,764.0462036,-0.001450812211,764.0462036,-0.001623996533,764.0462036,-0.002036378719,
763.4829102,-0.001702956273,763.4829102,-0.001676809858,763.4829102,-0.001636220491,763.4829102,-0.002153850626,763.4829102,-0.001483524917,763.4829102,-0.001530783717,763.4829102,-0.001484195702,763.4829102,-0.001708216383,
763.0603638,-0.001727141673,763.0603638,-0.0018535126,763.0603638,-0.001877947361,763.0603638,-0.001908617676,763.0603638,-0.001039216295,763.0603638,-0.001970776357,763.0603638,-0.001912638079,763.0603638,-0.001956551801,
762.4968872,-0.002016281709,762.4968872,-0.001553327893,762.4968872,-0.001546724699,762.4968872,-0.001853203285,762.4968872,-0.001179728308,762.4968872,-0.001550851739,762.4968872,-0.001864338294,762.4968872,-0.001467788126,
761.9332886,-0.001489251968,761.9332886,-0.002155808266,761.9332886,-0.001855162322,761.9332886,-0.001660100068,761.9332886,-0.001529700356,761.9332886,-0.001681915484,761.9332886,-0.001804896863,761.9332886,-0.001890628133,
761.510498,-0.00200783019,761.510498,-0.001723119407,761.510498,-0.001660461072,761.510498,-0.001870266511,761.510498,-0.001432081335,761.510498,-0.001737661078,761.510498,-0.001471554628,761.510498,-0.002118921606,
760.9466553,-0.001500293147,760.9466553,-0.002043747343,760.9466553,-0.001754522556,760.9466553,-0.001827787724,760.9466553,-0.001470316318,760.9466553,-0.0008417719509,760.9466553,-0.001640243456,760.9466553,-0.001889287843,
760.5237427,-0.001606356236,760.5237427,-0.001786851441,760.5237427,-0.001267338055,760.5237427,-0.001716828207,760.5237427,-0.001473360579,760.5237427,-0.001071753446,760.5237427,-0.001742714434,760.5237427,-0.001904133242,
759.9597168,-0.001653292216,759.9597168,-0.001503956271,759.9597168,-0.001724975882,759.9597168,-0.001665979507,759.9597168,-0.001403957605,759.9597168,-0.001471141935,759.9597168,-0.001389198354,759.9597168,-0.002010973869,
759.5366211,-0.001688929275,759.5366211,-0.002098673722,759.5366211,-0.001885164063,759.5366211,-0.001759730396,759.5366211,-0.001421296503,759.5366211,-0.001595885144,759.5366211,-0.001585052814,759.5366211,-0.002000564011,
758.9723511,-0.001480687177,758.9723511,-0.002286741044,758.9723511,-0.00194959389,758.9723511,-0.00207162369,758.9723511,-0.001979640685,758.9723511,-0.001541050035,758.9723511,-0.001688619843,758.9723511,-0.00191140105,
758.5491333,-0.001929338207,758.5491333,-0.002371501876,758.5491333,-0.002168841427,758.5491333,-0.001689702738,758.5491333,-0.001641997136,758.5491333,-0.001687433687,758.5491333,-0.002104238141,758.5491333,-0.002268458251,
757.9846802,-0.001830674708,757.9846802,-0.002280149143,757.9846802,-0.002195731038,757.9846802,-0.002111605601,757.9846802,-0.001835933188,757.9846802,-0.001922895317,757.9846802,-0.001400087262,757.9846802,-0.002393899485,
757.5612793,-0.002286380623,757.5612793,-0.002183007542,757.5612793,-0.001841088524,757.5612793,-0.002252955688,757.5612793,-0.002142826095,757.5612793,-0.001761792926,757.5612793,-0.002163020428,757.5612793,-0.00204482954,
756.9966431,-0.001937791123,756.9966431,-0.002309297444,756.9966431,-0.002130873967,756.9966431,-0.002296989551,756.9966431,-0.001863822807,756.9966431,-0.001773703611,756.9966431,-0.00195083092,756.9966431,-0.002382829553,
756.4318848,-0.002185892314,756.4318848,-0.002420311794,756.4318848,-0.002384837717,756.4318848,-0.002077600453,756.4318848,-0.001787624904,756.4318848,-0.001948047662,756.4318848,-0.001865214668,756.4318848,-0.002258002991,
756.0082397,-0.002294311533,756.0082397,-0.002084762324,756.0082397,-0.002003089292,756.0082397,-0.002074406017,756.0082397,-0.002261659829,756.0082397,-0.001879184507,756.0082397,-0.001919596572,756.0082397,-0.002681721235,
755.4432983,-0.002344468841,755.4432983,-0.002432307228,755.4432983,-0.002146998886,755.4432983,-0.002392560709,755.4432983,-0.002318463987,755.4432983,-0.002143650316,755.4432983,-0.002307031536,755.4432983,-0.00236295443,
755.0194702,-0.002190167783,755.0194702,-0.002723139245,755.0194702,-0.002190322382,755.0194702,-0.002295547398,755.0194702,-0.002163586905,755.0194702,-0.00209197565,755.0194702,-0.002551267855,755.0194702,-0.002742123324,
754.4543457,-0.002163741505,754.4543457,-0.002578596817,754.4543457,-0.002323716646,754.4543457,-0.002058896702,754.4543457,-0.002217725618,754.4543457,-0.002072705654,754.4543457,-0.002300388413,754.4543457,-0.002792948857,
754.0303955,-0.00245207618,754.0303955,-0.002485279925,754.0303955,-0.002663763706,754.0303955,-0.002369905589,754.0303955,-0.00277808262,754.0303955,-0.002358165802,754.0303955,-0.002430762863,754.0303955,-0.003089091275,
753.4650269,-0.002649973612,753.4650269,-0.002787290607,753.4650269,-0.00286367326,753.4650269,-0.00299824914,753.4650269,-0.002517297165,753.4650269,-0.002939939732,753.4650269,-0.002430093475,753.4650269,-0.003124610754,
753.0408936,-0.002992439084,753.0408936,-0.002342100022,753.0408936,-0.003228890477,753.0408936,-0.003209824907,753.0408936,-0.002605409361,753.0408936,-0.002603350906,753.0408936,-0.002776127774,753.0408936,-0.002946984721,
752.4753418,-0.003167733783,752.4753418,-0.002375930082,752.4753418,-0.003111914499,752.4753418,-0.002824892057,752.4753418,-0.00293783145,752.4753418,-0.002601961372,752.4753418,-0.00268650637,752.4753418,-0.003229558468,
752.0510864,-0.002748245141,752.0510864,-0.002659029793,752.0510864,-0.003214912489,752.0510864,-0.003370031482,752.0510864,-0.002662168583,752.0510864,-0.00296354224,752.0510864,-0.002993673086,752.0510864,-0.003313621739,
